วันที่,เลขที่ใบเสร็จ,ประเภทใบเสร็จ,ประเภท,รหัสSKUสินค้า,รายการ,ตัวแปร,ปรับเปลี่ยนการใช้งาน,จำนวน,ยอดขายรวม,ส่วนลด,ยอดขายสุทธิ,ต้นทุนของสินค้า,กำไรรวม,ภาษี,ระบบขายหน้าร้าน,ร้านค้า,ชื่อแคชเชียร์,ชื่อลูกค้า,รายชื่อติดต่อลูกค้า,ความคิดเห็น,สถานะ
19/10/20 14:48,1-7934,ลดราคา,ผักผล,10121,มะนาว,,,0.200,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:48,1-7934,ลดราคา,ผลไม้,10159,แตงไทย,,,1.500,90.00,0.00,90.00,0.00,90.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:43,1-7933,ลดราคา,ผักผล,10148,หน่อไม้ไผ่ตง หวาน,,,0.700,42.00,0.00,42.00,0.00,42.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:43,1-7933,ลดราคา,ผักผล,10127,มะละกอดิบ  ลูกละ,,,1.000,25.00,0.00,25.00,0.00,25.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:42,1-7932,ลดราคา,ผักใบ,10102,ผักบุ้งจีน,,,0.200,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:42,1-7932,ลดราคา,ผักใบ,10076,จิงจูฉ่าย   กำละ,,,1.000,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:40,1-7931,ลดราคา,ผลไม้,10170,กล้วยน้ำว้า,,,1.000,50.00,5.26,44.74,0.00,44.74,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:40,1-7931,ลดราคา,ผลไม้,10194,มะม่วงโชคอนันต์,,,2.000,140.00,14.74,125.26,0.00,125.26,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:39,1-7930,ลดราคา,ผลไม้,10159,แตงไทย,,,1.700,102.00,0.00,102.00,0.00,102.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:39,1-7930,ลดราคา,ผักใบ,10103,ผักปลัง,,,0.200,24.00,0.00,24.00,0.00,24.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:38,1-7929,ลดราคา,ผักใบ,10065,กะเพรา,,,1.000,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:38,1-7929,ลดราคา,ผักใบ,10098,ผักชีฝรั่ง,,,0.100,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
19/10/20 14:38,1-7929,ลดราคา,ผักผล,10112,พริกหนุ่ม,,,0.050,12.00,0.00,12.00,0.00,12.00,0.00,POS 1,ธรรมธุรกิจ,เจ้าของ,,,,ปิด
